CRASH_NUM,Year,latitude,longitude,adt,Alignment,Location type,Occupant,Vehicle type,Driver injury
LA18_180102082635808,2018,30.48779,-92.415154,9500,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180104100925079,2018,29.980733,-90.249524,23100,Straight,Business,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180105101225459,2018,30.067187,-90.481383,17734,Straight,Business,Single,Truck/Trailer,No Injury
LA18_180106172248196,2018,32.497518,-93.691955,32400,Straight,Business,Single,Passenger Car,No Injury
LA18_180107114214930,2018,30.393386,-91.535244,46600,Straight,Open Country,Single,Passenger Car,No Injury
LA18_180110082915524,2018,30.284716,-89.771689,16500,Straight,Business,Two or more,Suv,No Injury
LA18_180111104942883,2018,29.780984,-91.774409,410,Straight,Open Country,Single,Truck/Trailer,No Injury
LA18_180112104801426,2018,32.538929,-92.652713,50800,Straight,Business,Single,Suv,No Injury
LA18_180112165104078,2018,32.352016,-93.556207,3400,Straight,Residential,Two or more,Truck/Trailer,No Injury
LA18_180112193517282,2018,31.753568,-93.082412,18800,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180113151731862,2018,30.211448,-92.37203,7700,Straight,Business,Single,Suv,No Injury
LA18_180114094429121,2018,30.282048,-91.2264,10300,Straight,Business,Single,Suv,No Injury
LA18_180114135255429,2018,32.906869,-93.7047,5100,Straight,Business,Two or more,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180114173452535,2018,30.140727,-91.945035,31600,Straight,Business,Two or more,Passenger Car,No Injury
LA18_180114195025198,2018,30.242969,-92.032444,28700,Straight,Business,Single,Passenger Car,Injury
LA18_180116074451448,2018,29.989379,-90.0583,29900,Straight,Business,Two or more,Suv,No Injury
LA18_180116090319765,2018,32.509844,-92.157343,24500,Straight,Business,Single,Van,No Injury
LA18_180117131656119,2018,29.936635,-90.375322,42400,Straight,Other,Single,"Lt. Truck (P.U., Etc.)",No Injury
LA18_180117133323519,2018,30.196495,-93.216044,54200,Curve,Open Country,Single,"Lt. Truck (P.U., Etc.)",No Injury
